form	lemma	POS	morph
༼		PUNCT
		
"༽

༄། །"		PUNCT
སཔྟབརྒགསསཱུཏྲསྱསནྡྷིཔྲྀཏྟིཔྲམཱཎཡུཀྟིནིདྷིབིབརཎཡུཀྟིམཱརྒགཔྲཀཱསནཱམབིཧརཏིསྨ་		NON_WORD
།། ༄། །		PUNCT
སྡེ་	སྡེ་	NOUN
བདུན་	བདུན་	NUM
མདོ་	མདོ་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
དགོངས་འགྲེལ་	དགོངས་འགྲེལ་	NOUN
ཚད་མ་	ཚད་མ་	NOUN
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
གཏེར་	གཏེར་	NOUN
གྱི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
རིགས་ལམ་	རིགས་ལམ་	OTHER
རབ་གསལ་	རབ་གསལ་	PROPN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
།། ༼		PUNCT
		
༽ །		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭ་		NON_WORD
སྟི་	སྟི་	NO_POS
སིདྡྷཾ་		NON_WORD
།		PUNCT
སྡེ་	སྡེ་	NOUN
བདུན་	བདུན་	NUM
མདོ་	མདོ་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
དགོངས་འགྲེལ་	དགོངས་འགྲེལ་	NOUN
ཚད་མ་	ཚད་མ་	NOUN
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
གཏེར་	གཏེར་	NOUN
གྱི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
རིགས་ལམ་	རིགས་ལམ་	OTHER
རབ་གསལ་	རབ་གསལ་	PROPN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ཤེས་བྱ་	ཤེས་བྱ་	VERB
འི་	གི་	PART
གནས་	གནས་	NOUN
ལ་	ལ་	ADP
བསླུ་བ་	བསླུ་བ་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
དག་པ་	དག་པ་	VERB
བླ་མ་	བླ་མ་	NOUN
འཇམ་པ་	འཇམ་པ་	VERB
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
ཀྱི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་སྒོ་	ལ་སྒོ་	NO_POS
གསུམ་	གསུམ་	NUM
གུས་པ་	གུས་པ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ཞིང་	ཞིང་	SCONJ
སྐྱབས་	སྐྱབས་	NOUN
སུ་	སུ་	ADP
མཆིའོ་		NON_WORD
། །		PUNCT
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབ་	བརླབ་	NO_POS
ཏུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
།		PUNCT
དྲི་མ་	དྲི་མ་	NOUN
མ་	མ་	PART
ལུས་	ལུས་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
ནི་	ནི་	NO_POS
རབ་དཀར་	རབ་དཀར་	OTHER
གངས་རི་	གངས་རི་	NOUN
ལྟ་	ལྟ་	OTHER
བརྗིད་	བརྗིད་	NO_POS
ཅིང་	ཅིང་	PART
། །		PUNCT
དམ་ཆོས་	དམ་ཆོས་	NOUN
ཆོས་སྒྲ་	ཆོས་སྒྲ་	NO_POS
ཕྱོགས་	ཕྱོགས་	NOUN
བཅུ་		
སྒྲོགས་པ་	སྒྲོགས་པ་	VERB
འི་	གི་	PART
གསུང་	གསུང་	VERB
ནི་	ནི་	NO_POS
རབ་	རབ་	ADV
སྙན་	སྙན་	NOUN
ལྷ་	ལྷ་	NOUN
ཡི་	ཡི་	ADP
རྔ་བོ་	རྔ་བོ་	NOUN
ཆེ་	ཆེ་	VERB
། །		PUNCT
ཆོ་	ཆོ་	NOUN
ཀུན་	ཀུན་	DET
ཀུན་	ཀུན་	DET
ལ་	ལ་	ADP
ཆགས་ཐོགས་	ཆགས་ཐོགས་	NO_POS
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
ནི་	ནི་	NO_POS
རབ་འབྱམས་	རབ་འབྱམས་	ADJ
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལྟ་	ལྟ་	OTHER
ཞི་བ་	ཞི་བ་	VERB
། །		PUNCT
སྲིད་ཞི་	སྲིད་ཞི་	NOUN
འི་	གི་	PART
ཉེས་པ་	ཉེས་པ་	VERB
ས་	གིས་	PART
མི་	མི་	PART
གཡོ་	གཡོ་	VERB
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
མགོན་པོ་	མགོན་པོ་	NOUN
ལྷ་	ལྷ་	NOUN
མཆོག་	མཆོག་	ADJ
དེ་	དེ་	DET
ལ་	ལ་	ADP
སྙིང་	སྙིང་	NOUN
ན་	ནས་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
འཛམ་	འཛམ་	NO_POS
༼		PUNCT
		
༽		PUNCT
གླིང་	གླིང་	NOUN
མཛེས་བྱེད་	མཛེས་བྱེད་	OTHER
འཛམ་བུ་	འཛམ་བུ་	NOUN
འི་	གི་	PART
གསེར་	གསེར་	NOUN
གྱི་	གི་	PART
ཅོད་པན་	ཅོད་པན་	NOUN
མཆོག་	མཆོག་	ADJ
ལྟ་	ལྟ་	OTHER
བློ་གསལ་	བློ་གསལ་	OTHER
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
། །		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ས་	གིས་	PART
ལུང་བསྟན་	ལུང་བསྟན་	NOUN
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
སྲ་	སྲ་	NOUN
ཚོགས་	ཚོགས་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
དབུ་	དབུ་	NOUN
ན་	ན་	ADP
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
ར་	ལ་	PART
ལྷམ་	ལྷམ་	NOUN
མེ་བ་	མེ་བ་	NOUN
། །		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
ཕྱོགས་	ཕྱོགས་	NOUN
བཅུ་	བཅུ་	NUM
འི་	གི་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
རྣམ་དཀར་	རྣམ་དཀར་	ADJ
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
